1:(29, 33, 3, 23, 11)
2:[47, 35, 0, 26, 9]
3:[1, 8, 55, 18, 7]
4:[1, 8, 55, 18, 7]
5:[3, 14, 44, 11, 12]
6:[3, 14, 44, 11, 12]
7:[3, 19, 4, 24, 13]
8:[3, 19, 4, 24, 13]
9:[3, 19, 4, 24, 13]
10:[3, 15, 31, 18, 11]
11:[3, 30, 21, 21, 10]
12:[11, 33, 5, 28, 9]
13:[5, 2, 7, 28, 12]
14:[5, 2, 7, 28, 12]
15:[3, 20, 6, 23, 13]
16:[5, 8, 14, 28, 10]
17:[15, 6, 10, 25, 12]
18:[7, 1, 32, 18, 12]
19:[5, 14, 6, 24, 13]
20:[7, 1, 17, 22, 13]
21:[5, 6, 10, 26, 12]
22:[3, 2, 5, 27, 13]
23:[3, 2, 5, 27, 13]
24:[3, 2, 5, 27, 13]
25:[3, 18, 12, 21, 13]
26:[3, 3, 17, 28, 10]
27:[3, 3, 17, 28, 10]
28:[3, 3, 17, 28, 10]
29:[7, 1, 7, 28, 12]
30:[3, 3, 17, 28, 10]
31:[3, 0, 21, 23, 12]
32:[3, 3, 17, 20, 14]
33:[1, 1, 21, 23, 12]
34:[3, 3, 7, 28, 12]
35:[1, 1, 21, 21, 13]
36:[3, 1, 8, 28, 12]
37:[3, 1, 8, 28, 12]
38:[3, 1, 8, 28, 12]
39:[3, 1, 8, 28, 12]
40:[3, 1, 8, 28, 12]
41:[3, 1, 8, 28, 12]
42:[3, 2, 5, 25, 14]
43:[3, 1, 8, 28, 12]
44:[3, 2, 5, 27, 13]
45:[3, 2, 5, 25, 14]
46:[3, 1, 8, 26, 13]
47:[7, 1, 12, 22, 14]
48:[1, 1, 6, 27, 13]
49:[3, 2, 10, 27, 12]
50:[3, 2, 10, 27, 12]
51:[3, 2, 10, 27, 12]
52:[1, 1, 21, 21, 13]
53:[3, 8, 7, 25, 13]
54:[1, 1, 21, 21, 13]
55:[1, 1, 21, 21, 13]
56:[1, 0, 19, 22, 13]
57:[3, 3, 12, 24, 13]
58:[1, 4, 12, 24, 13]
59:[3, 3, 12, 24, 13]
60:[3, 0, 11, 25, 13]
61:[3, 0, 11, 25, 13]
62:[3, 0, 11, 25, 13]
63:[3, 3, 12, 24, 13]
64:[1, 0, 19, 22, 13]
65:[3, 3, 12, 24, 13]
66:[3, 0, 11, 25, 13]
67:[3, 0, 11, 25, 13]
68:[3, 0, 11, 25, 13]
69:[1, 0, 19, 22, 13]
70:[1, 0, 19, 22, 13]
71:[1, 0, 19, 22, 13]
72:[1, 0, 19, 22, 13]
73:[1, 0, 19, 22, 13]
74:[1, 0, 19, 22, 13]
75:[1, 0, 19, 22, 13]
76:[1, 0, 19, 22, 13]
77:[1, 0, 19, 22, 13]
78:[1, 0, 19, 22, 13]
79:[1, 0, 19, 22, 13]
80:[1, 0, 19, 22, 13]
81:[1, 1, 21, 21, 13]
82:[1, 1, 21, 21, 13]
83:[1, 1, 21, 21, 13]
84:[1, 1, 21, 21, 13]
85:[1, 1, 21, 21, 13]
86:[1, 1, 21, 21, 13]
87:[1, 1, 21, 21, 13]
88:[1, 1, 21, 21, 13]
89:[1, 1, 21, 21, 13]
90:[1, 1, 21, 21, 13]
91:[1, 1, 21, 21, 13]
92:[1, 1, 21, 21, 13]
93:[1, 1, 21, 21, 13]
94:[1, 1, 21, 21, 13]
95:[1, 1, 21, 21, 13]
96:[1, 1, 21, 21, 13]
97:[1, 1, 21, 21, 13]
98:[1, 1, 21, 21, 13]
99:[1, 1, 21, 21, 13]
100:[1, 1, 21, 21, 13]
101:[1, 1, 21, 21, 13]
102:[1, 1, 21, 21, 13]
103:[1, 1, 21, 21, 13]
104:[1, 1, 21, 21, 13]
105:[1, 1, 21, 21, 13]
106:[1, 1, 21, 21, 13]
107:[1, 1, 21, 21, 13]
108:[1, 1, 21, 21, 13]
109:[1, 1, 21, 21, 13]
110:[1, 1, 21, 21, 13]
111:[1, 1, 21, 21, 13]
112:[1, 1, 21, 21, 13]
113:[1, 1, 21, 21, 13]
114:[1, 1, 21, 21, 13]
115:[1, 1, 21, 21, 13]
116:[1, 1, 21, 21, 13]
117:[1, 1, 21, 21, 13]
118:[1, 1, 21, 21, 13]
119:[1, 1, 21, 21, 13]
120:[1, 1, 21, 21, 13]
121:[1, 1, 21, 21, 13]
122:[1, 1, 21, 21, 13]
123:[1, 1, 21, 21, 13]
124:[1, 1, 21, 21, 13]
125:[1, 1, 21, 21, 13]
126:[1, 1, 21, 21, 13]
127:[1, 1, 21, 21, 13]
128:[1, 1, 21, 21, 13]
129:[1, 1, 21, 21, 13]
130:[1, 1, 21, 21, 13]
131:[1, 1, 21, 21, 13]
132:[1, 1, 21, 21, 13]
133:[1, 1, 21, 21, 13]
134:[1, 1, 21, 21, 13]
135:[1, 1, 21, 21, 13]
136:[1, 1, 21, 21, 13]
137:[1, 1, 21, 21, 13]
138:[1, 1, 21, 21, 13]
139:[1, 1, 21, 21, 13]
140:[1, 1, 21, 21, 13]
141:[1, 1, 21, 21, 13]
142:[1, 1, 21, 21, 13]
